"Time","Pressure drop Monitor: Pressure drop Monitor"
27.92329615379443,-9469.684141489675
27.926553571376836,-9406.699866531571
27.92979333328159,-9357.482692405772
27.93307037031862,-9308.637198750026
27.936303703651948,-9268.249094811792
27.939548148096385,-9207.662181410391
27.942815999948227,-9141.708836875936
27.94614799994822,-9097.67888120952
27.94947307687129,-9049.0777937498
27.952780769178975,-8993.236125238278
27.956084615332813,-8920.680254665358
27.95944814809634,-8866.406355415917
27.96281599994818,-8824.322023342482
27.966263999948172,-8789.651288552534
27.969680769178936,-8744.673704295614
27.97313846148662,-8688.971356904374
27.97657599994815,-8642.091564279783
27.980038461486604,-8618.59323039055
27.983476923025055,-8603.947849946771
27.986969230717357,-8585.445804036313
27.990475999948117,-8532.452722838261
27.99397199994811,-8511.664509989114
27.9974759999481,-8523.567696095435
28.000999999948093,-8540.502041951657
28.004539999948083,-8540.588983994794
28.008126923025,-8527.762718647322
28.011719999948067,-8509.791100541477
28.015304166614726,-8512.41672797101
28.018883333281384,-8526.522688408295
28.022420833281377,-8546.871797046704
28.025963999948033,-8567.909921901723
28.02956428566231,-8560.462988116235
28.03311199994802,-8558.868180807516
28.03658399994801,-8582.530326855427
28.040027999948002,-8623.498489646137
28.043435999947995,-8676.593768172532
28.046882142805128,-8712.98536944615
28.050342307640285,-8747.090916094337
28.05371199994797,-8794.606978627397
28.057103999947962,-8859.52775156247
28.060499999947954,-8922.63917359497
28.063957692255638,-8966.754377123283
28.06737692302486,-9007.819485291137
28.07076923071716,-9063.369828315424
28.074165384563308,-9130.66240308261
28.077599999947914,-9175.625636388988
28.08103846148637,-9209.568014996312
28.084484615332514,-9239.283054429825
28.08790799994789,-9288.059480712547
28.091299999947882,-9331.680685686188
28.094699999947874,-9371.370145499155
28.098092307640172,-9406.620543373498
28.101434615332472,-9475.710627345861
28.104814285662137,-9502.640587582902
28.10814230764015,-9538.450860113664
28.111442307640143,-9577.189882571067
28.114744444392272,-9634.341147397303
28.118055555503375,-9682.821042849311
28.121362962910776,-9719.502465011976
28.12463333328114,-9791.672041693757
28.127925925873722,-9826.04638209239
28.131214814762604,-9863.384411633086
28.13444074068852,-9922.089220427637
28.13769259254037,-9947.599586513952
